id,make,model,year,price,features,stock,image,description
V00001,Lexus,Model 4,2025,277072,"Air Suspension,Power Tailgate,Sunroof,Leather Seats,Ventilated Seats,4WD,Adaptive Cruise,V8 Engine,Keyless Entry,Android Auto,Blind Spot Monitor,360 Camera,Automatic Parking,Heated Seats",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6279175.jpg,The 2025 Lexus Model 4 is a sporty vehicle perfect for city driving.
V00002,Kia,Model 5,2023,242761,"Wireless Charging,Lane Assist,Rear Camera,Parking Sensors,360 Camera,Power Tailgate,Turbo,V6 Engine,Automatic Parking,Apple CarPlay,Leather Seats,Keyless Entry",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1288616.jpg,The 2023 Kia Model 5 is a premium vehicle perfect for off-road adventures.
V00003,Lexus,Model 5,2024,83521,"Apple CarPlay,Ambient Lighting,Sunroof,Push Start,Blind Spot Monitor,Cruise Control,LED Headlights,Air Suspension,Heated Seats,7 Seater,V6 Engine,4WD,Wireless Charging,Premium Sound",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1607836.jpg,The 2024 Lexus Model 5 is a family-friendly vehicle perfect for off-road adventures.
V00004,Jaguar,Model 5,2024,234537,"Premium Sound,Heated Seats,360 Camera,Blind Spot Monitor,V6 Engine,V8 Engine,Panoramic Roof,Eco Mode,Android Auto,Bluetooth,Lane Assist,7 Seater,Push Start",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8984832.jpg,The 2024 Jaguar Model 5 is a reliable vehicle perfect for daily commute.
V00005,Hyundai,Model 9,2023,186224,"Sunroof,Apple CarPlay,Navigation,Blind Spot Monitor,V6 Engine,7 Seater,4WD,AWD,Power Tailgate,LED Headlights,Push Start,Cruise Control,Electric,Eco Mode",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3640023.jpg,The 2023 Hyundai Model 9 is a reliable vehicle perfect for daily commute.
V00006,Subaru,Model 9,2025,191468,"Electric,Cruise Control,Push Start,AWD,Hybrid,360 Camera,Keyless Entry,4WD,Automatic Parking,Rear Camera",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2286959.jpg,The 2025 Subaru Model 9 is a family-friendly vehicle perfect for daily commute.
V00007,Toyota,RAV4,2025,114345,"Wireless Charging,Air Suspension,V8 Engine,Leather Seats,Panoramic Roof,7 Seater,Automatic Parking,Eco Mode,V6 Engine,Parking Sensors,Bluetooth,Push Start",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2135485.jpg,The 2025 Toyota RAV4 is a family-friendly vehicle perfect for long trips.
V00008,Kia,Model 4,2022,281923,"AWD,Adaptive Cruise,Leather Seats,Ambient Lighting,Air Suspension,Heated Seats,Premium Sound,Bluetooth,Android Auto,Blind Spot Monitor,Cruise Control,360 Camera,Turbo,Automatic Parking",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3279099.jpg,The 2022 Kia Model 4 is a sporty vehicle perfect for long trips.
V00009,Nissan,Pathfinder,2022,139588,"Adaptive Cruise,Navigation,Keyless Entry,Air Suspension,Rear Camera,7 Seater,Eco Mode,Ventilated Seats,Sunroof,Panoramic Roof,Electric",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2183359.jpg,The 2022 Nissan Pathfinder is a premium vehicle perfect for off-road adventures.
V00010,Kia,Model 9,2021,58047,"Panoramic Roof,Eco Mode,AWD,7 Seater,V8 Engine,Ambient Lighting",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6483564.jpg,The 2021 Kia Model 9 is a family-friendly vehicle perfect for city driving.
